ID,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,a_sum_1,a_sum_2,a_sum_3,b_sum_1,b_sum_2,b_sum_3,b_sum_4,b_sum_5,b_sum_6,c_sum_1,c_sum_2,c_sum_3,c_sum_4,c_sum_5,u_sum_1,u_sum_2,t_sum_1,t_sum_2,s_sum_1
86051528,Мужчина,34,Город с численностью от 500 тысяч до 950 тысяч,Высшее,15-20 лет,5-10 лет,Производство;,До 1000 человек,ведущий инженер по наладке и испытаниям,60,60 000 — 100 000,Нет,10.94630212242411,16.522755421362163,15.447564455443043,16,11,7,13,8,5,10,16,8,11,20,16,19,31,35,18
86050141,Женщина,30,Город с численностью жителей миллион и более человек,Высшее,10-15 лет,5-10 лет,Логистика;,1000+ человек,Старший контролер,100,30 000 — 60 000,Нет,14.024683639525565,11.763200569296522,21.61238352566854,13,17,10,18,15,13,9,15,6,11,12,17,11,43,23,15
86048629,Женщина,36,Город с численностью от 100 тысяч до 500 тысяч,Неоконченное высшее,10-15 лет,10-15 лет,"Продажи, закупки;",До 50 человек,Менеджер,50,30 000 — 60 000,Нет,16.62763301031763,15.522755421362161,23.088937148051816,10,10,9,11,13,8,8,15,7,15,21,5,9,29,22,14
86048060,Женщина,32,Город с численностью менее 50 тысяч,Неоконченное высшее,5-10 лет,5-10 лет,Образование;,До 50 человек,педагог,30,100 000 — 150 000,Нет,15.555678023753995,16.502777776245804,19.559455569303807,18,13,7,13,13,13,11,9,7,9,18,5,5,42,36,18
86047655,Женщина,50,Город с численностью от 100 тысяч до 500 тысяч,Высшее,20 + лет,5-10 лет,Другое,До 500 человек,главный специалист,50000,30 000 — 60 000,Затрудняюсь ответить,14.62763301031763,18.96119756807456,17.977046034191055,17,15,8,17,10,10,7,8,8,12,18,11,10,24,26,21
85949693,Женщина,48,Поселок городского типа,Среднее общее (11 классов),20 + лет,1-3 года,Производство;,До 500 человек,аппаратчик обработки зерна,50,15 000 — 30 000,Нет,4.560530630701657,18.041464851809025,15.029973990555794,15,13,9,13,11,9,10,14,10,10,17,13,16,37,30,20
85949677,Женщина,49,Город с численностью от 500 тысяч до 950 тысяч,Два и более высших и/или научная степень,20 + лет,10-15 лет,Обслуживание;,До 500 человек,Специалист эксперт,100,30 000 — 60 000,Нет,20.2125862763334,20.880930284340096,21.559455569303807,13,12,8,14,10,11,9,13,11,14,20,10,12,35,30,27
85949663,Мужчина,49,Город с численностью жителей миллион и более человек,Среднее общее (11 классов),20 + лет,15-20 лет,Производство;,До 50 человек,рабочий,70,60 000 — 100 000,Нет,20.2125862763334,21.519862288754137,19.924118077826314,21,14,7,17,9,9,17,20,13,15,23,5,7,27,31,29
85949653,Женщина,39,Город с численностью от 50 тысяч до 100 тысяч,Высшее,5-10 лет,3-5 лет,Обслуживание;,1000+ человек,бухгалтер,25000,15 000 — 30 000,Нет,14.549251493216177,18.96119756807456,18.029973990555796,12,10,6,11,7,6,10,13,6,6,15,11,14,36,27,12
85949643,Женщина,49,Город с численностью жителей миллион и более человек,Высшее,20 + лет,5-10 лет,Обслуживание;,До 50 человек,специалист,80,30 000 — 60 000,Да,15.699587996881268,22.630296177005345,20.029973990555796,12,11,7,10,8,8,10,14,10,12,15,11,13,31,30,19
